,ID,Name,Sex,Age,Height,Weight,Team,NOC,Games,Year,Season,City,Sport,Event,Medal,MedalEarned,PreviousMedals,Height_div_avg,Weight_div_avg,Age_div_avg
211789,106340,Julius Sawe Kipkoech,M,24.0,173.0,63.0,Kenya,KEN,1996 Summer,1996,Summer,Atlanta,Athletics,Athletics Men's 20 kilometres Walk,,0,0,-8.06,-12.31,-1.95
211790,106340,Julius Sawe Kipkoech,M,28.0,173.0,63.0,Kenya,KEN,2000 Summer,2000,Summer,Sydney,Athletics,Athletics Men's 20 kilometres Walk,,0,0,-8.49,-13.45,1.97
211791,106341,Tito Sawe,M,28.0,183.0,73.0,Kenya,KEN,1988 Summer,1988,Summer,Seoul,Athletics,Athletics Men's 4 x 400 metres Relay,,0,0,3.32,-0.07,2.7
211792,106342,William Sawe,M,33.0,165.0,59.0,Kenya,KEN,1988 Summer,1988,Summer,Seoul,Athletics,Athletics Men's 50 kilometres Walk,,0,0,-14.68,-14.07,7.7
211818,106355,Roberto Sawyers Furtado,M,29.0,182.0,111.0,Costa Rica,CRC,2016 Summer,2016,Summer,Rio de Janeiro,Athletics,Athletics Men's Hammer Throw,,0,0,1.1,36.52,2.39
211855,106372,Habib Zareef Sayed,M,23.0,170.0,58.0,Afghanistan,AFG,1960 Summer,1960,Summer,Roma,Athletics,Athletics Men's 400 metres,,0,0,-8.47,-14.44,-2.05
211856,106372,Habib Zareef Sayed,M,23.0,170.0,58.0,Afghanistan,AFG,1960 Summer,1960,Summer,Roma,Athletics,Athletics Men's 4 x 100 metres Relay,,0,0,-8.47,-14.44,-2.05
211973,106418,Vasif sadov,M,30.0,180.0,69.0,Azerbaijan,AZE,1996 Summer,1996,Summer,Atlanta,Athletics,Athletics Men's Triple Jump,,0,0,-1.06,-6.31,4.05
211977,106420,Hassanine Al-Sbai,M,24.0,176.0,60.0,Tunisia,TUN,2008 Summer,2008,Summer,Beijing,Athletics,Athletics Men's 20 kilometres Walk,,0,0,-5.57,-16.73,-2.18
211978,106420,Hassanine Al-Sbai,M,28.0,176.0,60.0,Tunisia,TUN,2012 Summer,2012,Summer,London,Athletics,Athletics Men's 20 kilometres Walk,,0,0,-5.84,-16.87,1.71
