,index,ID,Name,Sex,Age,Height,Weight,Team,NOC,Games,Year,Season,City,Sport,Event,Medal,MedalEarned,PreviousMedals,Height_div_avg,Weight_div_avg,Age_div_avg
1475,57055,29221,"Bohdan ""Don"" Domansky",M,22.0,180.0,77.0,Canada,CAN,1968 Summer,1968,Summer,Mexico City,Athletics,Athletics Men's 400 metres,,0,0,1.02,5.91,-1.74
1476,57056,29221,"Bohdan ""Don"" Domansky",M,29.0,180.0,77.0,Canada,CAN,1976 Summer,1976,Summer,Montreal,Athletics,Athletics Men's 400 metres,,0,0,-0.88,4.35,5.02
1477,57077,29233,Lutz Dombrowski,M,21.0,187.0,87.0,East Germany,GDR,1980 Summer,1980,Summer,Moskva,Athletics,Athletics Men's Long Jump,Gold,1,0,7.13,13.57,-2.97
1478,57090,29241,Yann Domenech,M,25.0,173.0,61.0,France,FRA,2004 Summer,2004,Summer,Athina,Athletics,Athletics Men's Long Jump,,0,0,-10.28,-15.03,-0.52
1479,57232,29324,"Christopher Lindsey ""Chris"" Donaldson",M,21.0,188.0,80.0,New Zealand,NZL,1996 Summer,1996,Summer,Atlanta,Athletics,Athletics Men's 100 metres,,0,0,9.72,5.74,-3.93
1480,57274,29339,Fermn Walter Donazar Zabalza,M,27.0,173.0,71.0,Uruguay,URU,1960 Summer,1960,Summer,Roma,Athletics,Athletics Men's Long Jump,,0,0,-6.57,-1.24,3.37
1481,57365,29384,Guillermo Dongo,M,18.0,180.0,75.0,Suriname,SUR,2000 Summer,2000,Summer,Sydney,Athletics,Athletics Men's 100 metres,,0,0,2.21,1.23,-6.61
1482,57405,29411,Helmuth Donner,M,19.0,180.0,75.0,Austria,AUT,1960 Summer,1960,Summer,Roma,Athletics,Athletics Men's High Jump,,0,0,-6.13,-2.73,-2.73
1483,57441,29431,Paul Donovan,M,21.0,179.0,63.0,Ireland,IRL,1984 Summer,1984,Summer,Los Angeles,Athletics,"Athletics Men's 1,500 metres",,0,0,1.25,-1.82,-2.85
1484,57598,29498,Dudley S. Dorival,M,25.0,185.0,77.0,Haiti,HAI,2000 Summer,2000,Summer,Sydney,Athletics,Athletics Men's 110 metres Hurdles,,0,0,-0.4,-2.56,-0.74
